geldi	o gelmek
onlar dışarıya çıkamaz	onlar dışarı çıkmak değil
ona iş verdim	ben ona iş vermek
her şeyi yiyin	siz her_şey yemek
artık sigara içmiyorum	ben artık sigara_içmek değil
ona iş verdik	biz ona iş vermek
arkadaşını almaya gideceğiz	biz senin arkadaş almak gitmek
bu çok düşük	bu çok düşük
dışarısı çok karanlık	dışarı çok karanlık
onu dışarıya götür	sen o dışarı götürmek
bir tane alacağım	ben bir tane almak
şimdi şarkı söyleme	sen şimdi şarkı söylemek değil
biz kitabını almadık	biz senin kitap almak değil
biz dün konuştuk	biz dün konuşmak
çok mutlu oldular	onlar çok mutlu olmak
benimle çok ilgilendi	o benim ile çok ilgilenmek
şeker almayı unuttum	ben şeker almak unutmak
kahvaltı dahil mi	kahvaltı dahil ?
işten erken ayrıldım	ben iş erken ayrılmak
hadi dışarı çıkalım	hadi biz dışarı çıkmak
dışarısı buz gibi	dışarı buz gibi
çok şey duymadım	ben çok şey duymak değil
seni hiç görmedim	ben sen hiç görmek değil
işe girdi mi	o iş girmek ?
yaşlı olduğumu düşünüyorum	ben benim yaşlı olmak düşünmek
neden geldiğimi düşünüyorsun	sen benim neden gelmek düşünmek ?
otobüste çok kalabalıktı	otobüs çok kalabalık
ben fıkrayı anlamadım	ben fıkra anlamak değil
ben uyumaya dönüyorum	ben uyumak dönmek
kim burada kaldı	kim burada kalmak ?
bu adam kim	bu adam kim ?
okul arkadaşımı seviyorum	ben benim okul arkadaş sevmek
herkese yardım ettim	ben herkes yardım_etmek
eğitim almaya çalışıyorum	ben eğitim almak çalışmak
o nereden kalkıyor	o nereden kalkmak ?
erkek kardeşim öldü	benim erkek kardeş ölmek
araba yolunu kapattım	ben araba yol kapatmak
kendimi aptal hissettim	ben kendim aptal hissetmek
onlar zarar görmedi	onlar zarar görmek değil
arkadaşı allaha inanmıyor	onun arkadaş allah inanmak değil
asla birini görmedim	ben asla biri görmek değil
sıkıldığımı mı düşünüyorsun	sen benim sıkılmak düşünmek ?
onu ​​tanıdığımı düşünüyorum	ben o tanımak düşünmek
kitaplar satmak istiyoruz	biz kitap satmak istemek
ilaç kullanıyor mu	o ilaç kullanmak ?
allaha inanıyor musun	sen allah inanmak ?
o içmeyi durdurmayacak	o içmek durdurmak değil
onlar dışarı gitti	onlar dışarı gitmek
öğle yemeğini hazırladı	o benim öğle yemek hazırlamak
pazarlardan nefret ederim	ben pazar nefret_etmek
o hep korkar	o hep korkmak
bir şapka aldım	ben bir şapka almak
nerede alışveriş yaparsın	sen nerede alışveriş yapmak ?
görmek ister misin	sen görmek istemek ?
ben dışarıda yedim	ben dışarı orada yemek
gerçekten bununla ilgilendi	gerçek bu ile ilgilenmek
ağaç uzun yaşar	ağaç uzun yaşamak
kahveden nefret ederim	ben kahve nefret_etmek
çok fazla içmedim	ben çok fazla içmek değil
bir daha izlemeyeceğim	ben bir daha izlemek değil
avrupaya hiç gitmedim	ben avrupa hiç gitmek değil
bütün hayvanları seviyorum	ben bütün hayvan onlar sevmek
biraz zaman alacak	biraz zaman almak
onun adını anlamadım	ben onun ad anlamak değil
bu gece dönüyorum	ben bu gece dönmek
sizinle konuşabilir miyim	ben sizin ile konuşmak ?
şeker hastalığı iyileştirilemez	şeker_hastalığı iyileşmek değil
perdeleri kapatmayı unuttum	ben perde kapatmak unutmak
etrafta kimseyi görmedim	ben etraf kimse görmek değil
alışveriş merkezi terkedildi	alışveriş merkez terketmek
hiç acı hissetmedi	o hiç acı hissetmek değil
ışıkları kapatmayı unuttun	sen ışık kapatmak unutmak
yumurta almayı unuttum	ben yumurta almak unutmak
kaskını almaya git	sen kendi kask almak gitmek
ben ailemi düşünüyorum	ben benim aile düşünmek
annen okula gelecek	senin anne okul gelmek
çocuklar sigara içmemelidir	çocuk onlar sigara_içmek değil
onlarla birlikte mutluyum	ben onlar ile birlikte mutlu olmak
beni gördüğünde gülümsedi	o ben görmek gülümsemek
sebebini anlıyor musun	sen sebep anlamak ?
onlar dün öldüler	onlar dün ölmek
dün hava sıcaktı	dün hava sıcak
oğlumu hiç anlamadım	ben benim oğul hiç anlamak değil
dans dersi alıyorum	ben dans ders almak
aynı yanıtı aldık	biz aynı yanıt almak
hayat adil değil	hayat adil değil
kendimi yalnız hissettim	ben kendim yalnız hissetmek
neden ışıkları kapattın	sen neden ışık kapatmak ?
kendimi suçlu hissediyorum	ben kendim suçlu hissetmek
o adam babası	o adam onun baba
bunu gördün mü	sen bu görmek ?
neden kapıyı kapattın	sen neden kapı kapatmak ?
siz sessiz kaldınız	siz sessiz kalmak
her zaman denerim	ben her zaman denemek
çocuğum okulda başarılı	benim çocuk okul orada başarılı
onlar dışarıya koştular	onlar dışarı koşmak
ben ailemle konuştum	ben benim aile ile konuşmak
kendimi üzgün hissediyorum	kendim üzgün hissetmek
paramı yerde unuttum	ben benim para yer orada unutmak
gazı kapattın mı	sen gaz kapatmak ?
hayat bir rüya	hayat bir rüya
burada hava soğuk	burada hava soğuk
anne kedi nerede	anne kedi nerede ?
herkes kabul etti	herkes kabul_etmek
ben kahve içmedim	ben kahve içmek değil
onlar hastaneye gittiler	onlar hastane gitmek
dışarısı sıcak mı	dışarı sıcak ?
onlar pencereyi kapattı	onlar pencere kapatmak
onu yaptığımı düşünüyorum	ben o yapmak düşünmek
ben kitabı aldım	ben kitap almak
kıştan nefret ederim	ben kış nefret_etmek
ablam çekmeceyi kapattı	benim abla çekmece kapatmak
amcam hastanede öldü	benim amca hastane orada ölmek
biz hepsini biliyoruz	biz hepsi bilmek
lütfen yardım almaya git	sen lütfen yardım almak gitmek
uçak ne zaman kalkıyor	uçak ne_zaman kalkmak ?
bütün elmaları hayvanlar yer	bütün elma hayvan onlar yemek
akşam televizyonda haberleri izledim	ben akşam televizyon haber izlemek
onun uçağı da kalkıyor	onun uçak kalkmak
ilk yardıma ihtiyacım var	ben ilkyardım ihtiyaç var
aldığım gömlek çok güzeldi	benim almak gömlek çok güzel
yarın işten izin alıyorum	ben yarın iş izin_almak
kim alışverişe gitmek ister	kim alışveriş gitmek istemek ?
amcamın üç çocuğu var	benim amca onun üç çocuk var
ben bir kitap aldım	ben bir kitap almak
neden işten izni almıyorsun	sen neden iş izin_almak değil ?
ilaç tedavisi almam gerekiyor	benim ilaç tedavi almak gerekli
dışarıya çıkarttığı köpeğini kaybetti	o dışarı çıkmak onun köpek kaybetmek
önce anlaşmayı imzalamak istiyorlardı	onlar önce anlaşma imzalamak istemek
şimdi o üniversitede okuyor	şimdi o üniversite orada okumak
onun erkek kardeşi yoktu	onun erkek kardeş yok
o içki içmeyi sever	o içki_içmek sevmek
senin hiç kardeşin yok	senin hiç kardeş yok
müzik dinlemeyi çok severim	ben müzik dinlemek çok sevmek
şaka yaptığımı mı düşünüyorsun	sen benim şaka yapmak düşünmek ?
annesi kapıyı kapatmayı unuttu	onun anne kapı kapatmak unutmak
arkadaşımın konuşmasını duymak istiyorum	ben benim arkadaş konuşmak duymak istemek
ben onu hiç anlamadım	ben o hiç anlamak değil
dışarısı karanlık olmaya başlıyor	dışarı karanlık olmak başlamak
soruyu duymamış gibi yapmayın	siz soru duymak değil gibi yapmak değil
bugün okula gidemem hastayım	ben bugün okul gitmek değil ben hasta
okul arkadaşımı çok seviyordum	ben benim okul arkadaş çok sevmek
dışarıya çıkarttığı kedisini kaybetti	o dışarı çıkmak onun kedi kaybetmek
akşam televizyonu kapatmayı unuttum	ben akşam televizyon kapatmak unutmak
bir bira almaya git	sen bir bira almak gitmek
annemin hayvanları uzaklara götürüldü	benim anne onun hayvan onlar uzak götürmek
o dün gece öldü	o dün gece ölmek
ben soğuk su alıyorum	ben soğuk su almak
ben dışarıda köpeğimle ilgilendim	ben dışarı orada benim köpek ile ilgilenmek
o kutunun kapağını çıkardı	o kutu kapak çıkarmak
bu telefon çok pahalı	bu telefon çok pahalı
size yardım edebilir miyim	ben size yardım_etmek ?
arkdaşım deli olduğumu düşünüyor	benim arkadaş benim deli olmak düşünmek
iki erkek kardeşim var	benim erkek kardeş var
tren saat dokuzda kalkıyor	tren saat dokuz kalkmak
ben düşündüğümden daha hastayım	ben benim düşünmek daha hasta
onlar birbirini çok seviyorlardı	onlar birbiri çok sevmek
ben çok sıcak hissetmiyorum	ben çok sıcak hissetmek değil
senin köpeğin var mı	senin köpek var ?
onu hiç kimse tanımadı	hiç_kimse o tanımak değil
bir köpeğe sahip olacağım	ben bir köpek sahip olmak
fotoğraf gezisine gitmeyi sevmiyorum	ben fotoğraf gezi gitmek sevmek değil
buraya ilk biz geldik	bura ilk biz gelmek
bir ucuz bilgisayar aldım	ben bir ucuz bilgisayar almak
bunu onun için aldık	biz bu onun için almak
size gerçekten inanmak istiyorum	ben size gerçek inanmak istemek
arkadaşı dışarıda alışveriş yapıyor	onun arkadaş dışarı orada alışveriş yapmak
ben onu hiç duymadım	ben o hiç duymak değil
biz bunu almak istiyoruz	biz bu almak istemek
biz akşamları erken yatıyoruz	biz akşam erken yatmak
akşam televizyonu kapatmayı unutmuş	o akşam televizyon kapatmak unutmak
kızım yalnız bir anne	benim kız yalnız bir anne
hangi kitabı okumak istiyor	o hangi kitap okumak istemek ?
sizin üzgün olduğunu düşünüyorum	ben sizin üzgün olmak düşünmek
annemle beraber yemek yapıyoruz	biz benim anne ile beraber yemek yapmak
o ne kadar kötüydü	o ne kadar kötü
amcamın yazısını okumak zordur	benim amca onun yazı okumak zor
ben ilk önce reddettim	ben ilk önce kabul_etmek değil
arkadaşlarım dışarıda oturmayı seviyorlar	benim arkadaş onlar dışarı orada oturmak sevmek
o ancak kendini suçlayabilir	o ancak kendi suçlamak
bir tane almak lazım	bir tane almak lazım
onu duymamış gibi yaptı	o duymak değil gibi yapmak
yemekte bizimle çok ilgilendiler	onlar yemek orada bizim ile çok ilgilenmek
dışarıya çıkarttığı köpeğini kaybetmiş	o dışarı çıkmak onun köpek kaybetmek
senin gitarın çok güzel	senin gitar çok güzel
bununla ilgilenmek zorunda kalacağız	biz bu ilgilenmek mecbur
dışarıya çıkarttığım köpeği kaybettim	ben dışarı çıkmak köpek kaybetmek
ben bir araba satıyorum	ben bir araba satmak
hayvanları görmek ister misiniz	siz hayvan onlar görmek istemek ?
annemin yaşadığına inanmak istiyor	o benim anne yaşamak inanmak istemek
annem akşam yemeği hazırlıyor	benim anne akşam yemek hazırlamak
annemin yaşadığına inanmak istiyorum	ben benim anne yaşamak inanmak istemek
ailemle alışveriş yapmayı seviyorum	ben benim aile ile alışveriş yapmak sevmek
ben yakında üniversiteye gittim	ben yakında üniversite gitmek
bir yazar ile tanıştık	biz bir yazar ile tanışmak
amcamı baba gibi seviyorum	ben benim amca baba gibi sevmek
hastaneye gitmeye mecbur muyum	ben hastane gitmek mecbur ?
allaha şükürler olsun buradasın	sen allaha_şükür olmak burada
kayıt ücretsizdir ancak gereklidir	kayıt ücretsiz ancak gerekli
ilk o gidebilir mi	ilk o gitmek ?
bilgisayarda film seyretmeyi seviyor	o bilgisayar film seyretmek sevmek
bir içki almaya git	sen bir içki almak gitmek
bir saat içinde görüşürüz	biz bir saat içinde görüşmek
az önce kahvaltı yaptım	ben az önce kahvaltı yapmak
bunu tamir edebilir misin	sen bu tamir_etmek ?
amcam bana saat verdi	benim amca bana saat vermek
amcam bir köpek besliyor	benim amca bir köpek beslemek
biz onu hastaneye götürdük	biz o hastane götürmek
hangi ülkeye gitmeyi isterdi	o hangi ülke gitmek istemek ?
ben onun şakasını anlamadım	ben onun şaka anlamak değil
ben sadece alışverişe gittim	ben sadece alışveriş gitmek
onu ilk ben düşündüm	o ilk ben düşünmek
bir kitap almak istiyorum	ben bir kitap almak istemek
onunla ilgilenmek zorunda kalacaksın	sen onun ile ilgilenmek mecbur
bu komik ama gerçek	bu komik ama gerçek
annem süt almayı unuttu	benim anne süt almak unutmak
yağmur yağacağını mı düşünüyorsun	sen yağmur yağmak düşünmek ?
kuzenini işe almak istiyorum	ben senin kuzen iş almak istemek
uzun süredir onu bekliyorum	ben uzun süre o beklemek
o duygu uzun sürmeyecek	o duygu uzun sürmek değil
hiç araba sesi duymadım	ben hiç araba ses duymak değil
bunu çok duymuş olmalıyım	ben bu çok duymak olmak
avrupadaki akrabalarımı çok özledim	ben avrupa orada benim akraba çok özlemek
babam içki içmeyi bıraktı	benim baba içki_içmek bırakmak
o pencereyi kapatmayı unuttu	o pencere kapatmak unutmak
yeni bir ev aldılar	onlar yeni bir ev almak
siz hayvanları sever misiniz	siz hayvan onlar sevmek ?
onunla iletişim kurmak imkansız	onun ile iletişim kurmak imkansız
ben başarılı olmak istiyorum	ben başarılı olmak istemek
arkadaşı bugün anlaşmayı duyurdu	onun arkadaş bugün anlaşmak duyurmak
düşen kayalar yolu kapattı	düşmek kaya yol kapatmak
bir şey duymuş olmalı	o bir_şey duymak olmak
kapıyı kapatmayı zor buldum	ben kapı kapatmak zor bulmak
hafta sonu onu bulduk	biz hafta_sonu o bulmak
kardeşim kitap almak istemiş	benim kardeş kitap almak istemek
üç kişi hastaneye gönderildi	üç kişi hastane göndermek
o ona ilaç verilmeli	o ona ilaç vermek
senin sesini duymak istiyorum	ben senin ses duymak istemek
sen kız kardeşime benziyorsun	sen benim kız kardeş benzemek
ben o zaman küçüktüm	ben o zaman küçük olmak
kazandığım bütün parayı harcadım	ben benim kazanmak bütün para harcamak
kimin kazandığını duymak istiyorum	ben kim kazanmak duymak istemek
o benim ilk aşkım	o benim ilk aşk
sen erkek kardeşi misin	sen onun erkek kardeş ?
markete ekmek almaya gidiyor	o market ekmek almak gitmek
amcasının adını almış olmalı	o onun amca isim almak olmak
o imkansız bir görevdi	o imkansız bir görev
hiç kimse yalan söylemedi	hiç_kimse yalan_söylemek değil
ben bundan zevk aldım	ben bu zevk_almak
yumurtaları satmayı unuttun mu	sen yumurta satmak unutmak ?
bütün bunu nereden aldılar	bütün bu nereden almak ?
amcamın dışarıdaki evini görmelisin	sen benim amca onun dışarı orada onun ev görmek
bugün ofisi erken kapattık	biz bugün ofis erken kapatmak
arkadaşlarıyla dışarıda oturmayı seviyor	o onun arkadaş onlar ile dışarı orada oturmak sevmek
ben bir polis gördüm	ben bir polis görmek
hava çok sıcak oluyor	hava çok sıcak olmak
yeni bir araba alıyorum	ben yeni bir araba almak
herkes yaşar ve ölür	herkes yaşamak ve ölmek
biz asla yeterince almadık	biz asla yeterli almak değil
o benim erkek kardeşim	o benim erkek kardeş
bu ilaç yardımcı olmalı	bu ilaç yardımcı_olmak
annem mutfakta yemek hazırlıyor	benim anne mutfak orada yemek hazırlamak
arkadaşımla okula yüreyerek gidiyoruz	biz benim arkadaş ile okul yürümek gitmek
ben evde çiçek bakıyorum	ben ev orada çiçek bakmak
bunu almak istiyor musun	sen bu almak istemek ?
akrabalarımın hepsi yakında oturuyorlar	benim akraba onlar hepsi yakın oturmak
onlar kuzenimi işe aldılar	onlar benim kuzen iş almak
bir tane daha olmalı	bir tane daha olmak
ilaç tedavisi işe yarıyor	ilaç tedavi iş yaramak
arkadaşlarıyla beraber dışarı çıktı	o arkadaş onlar ile beraber dışarı çıkmak
benim hiç çocuğum yok	benim hiç çocuk yok
onun çalıştığını düşünüyor musun	sen onun çalışmak düşünmek ?
o bekar bir anne	o bekar bir anne
şimdi geri dönüyor musun	sen şimdi geri dönmek ?
artık eskisi gibi beklemeyin	siz artık eski gibi beklemek değil
o bir hastanede çalışıyor	o hastane orada çalışmak
ailemle tatilde çok eğlendik	biz benim aile ile tatil orada çok eğlenmek
arkadaşımın üç arabası var	benim arkadaş üç araba var
her gün spor yaparız	biz her_gün spor yapmak
gazı kapatmayı hatırladın mı	sen gaz kapatmak hatırlamak ?
bugün ödevlerimi yapmayı unuttum	ben bugün benim ödev yapmak unutmak
polis kimlik kontrolü yapıyordu	polis kimlik kontrol yapmak
ben yoksulluk içinde yaşadım	ben yoksul içinde yaşamak
ben akşamları erken yatıyorum	ben akşam erken yatmak
arkadaşlarıyla okuldaki geziye katılmadı	o onun arkadaş onlar ile okul orada gezi katılmak değil
o avrupada yer almaktadır	o avrupa orada yer almak
sen beni işten çıkaramazsın	sen ben iş çıkarmak değil
bizim girişimizi duymuş olmalı	o bizim giriş duymak olmak
annem soğuk almış görünüyor	benim anne soğuk almak görünmek
sinemada hiç zevk almadım	ben sinema hiç zevk_almak değil
annemle beraber doktara gitti	o benim anne ile beraber doktor gitmek
ben gelirken ışıkları kapattım	ben gelmek ışık kapatmak
ben hiç yumurta almadım	ben hiç yumurta almak değil
siz herkese nazik olun	siz herkes nazik olmak
o hiç eğlenceli değil	o hiç eğlence değil
ben birçok kadın tanıyorum	ben birçok kadın tanımak
daha sonra büyüklere geçtiler	onlar daha sonra büyük geçmek
resim çizmeyi bitirip uyudum	ben resim çizmek bitirmek uyumak
dışarıya çıkarttığı kedisini kaybetmiş	o dışarı çıkmak onun kedi kaybetmek
o benim yakın arkadaşım	o benim yakın arkadaş
telefonum artık çok eskidi	benim telefon çok eski
bir bira almaya gidelim	biz bir bira almak gitmek
biz onu duymak istiyoruz	biz o duymak istemek
hiçbir şey imkansız değildir	hiç şey imkansız değil
bir kitap satmak istiyorum	ben bir kitap satmak istemek
o annesini sevdiğimi düşünüyor	o onun anne benim sevmek düşünmek
dışarıdan yemek almak istemiyorum	ben dışarı orada yemek almak istemek değil
istediğiniz yerde alışveriş yapın	siz istek yer orada alışveriş yapmak
erkek kardeşim bir veteriner	benim erkek kardeş bir veteriner
burada park edebilir miyim	ben burada park_etmek ?
ilaç tedavisi almam gerekli	benim ilaç tedavi almak gerekli
bugün çok yağmur yağdı	bugün çok yağmur yağmak
eski arkadaşlarıyla az konuşuyorum	o onun eski arkadaş onlar ile az konuşmak
daha olumlu konuşmalar yapmalısın	sen daha olumlu konuşmak yapmak
ben yakında üniversiteye gitmedim	ben yakında üniversite gitmek değil
bugün hava çok güneşli	bugün hava çok güneş
kuzenim şimdi amcasıyla yaşıyor	benim kuzen şimdi onun amca ile yaşamak
kardeşim duygu ile ağladı	benim kardeş duygu ile ağlamak
bunu tamir edebilir misiniz	siz bu tamir_etmek ?
dışarı çıkmama izin verin	siz benim dışarı çıkmak izin_vermek
erkek kardeşime biraz benziyorsun	sen benim erkek kardeş biraz benzemek
avrupadaki akrabalarımı çok özledi	o avrupa orada benim akraba çok özlemek
ilk olarak gidebilir miyim	ben ilk gitmek ?
yalan söylediğimi mi düşünüyorsun	sen benim yalan_söylemek düşünmek ?
her mevsim yağmur yağar	her mevsim yağmur yağmak
çok fazla içki içmedim	ben çok fazla içki_içmek değil
her şeyi duymak istiyorum	ben her_şey duymak istemek
yeni arabamla kaza yaptım	ben benim yeni araba ile kaza yapmak
amcam bana arabasını verdi	benim amca bana onun araba vermek
kuzeni zaten anlaşmayı imzaladı	onun kuzen zaten anlaşma imzalamak
şarkı söylemeni duymak istiyorum	ben senin şarkı söylemek duymak istemek
ama sen orada değilsin	ama sen orada değil
o kutunun kapağını kapattı	o kutu kapak kapatmak
onu tamir edebilir misin	sen o tamir_etmek ?
dün gece onu gördüm	ben dün gece o görmek
ben bir şey duymadım	ben bir_şey duymak değil
geç bir kahvaltı yaptım	ben geç bir kahvaltı yapmak
ona sevdiği saati aldım	ona sevmek saat almak
çok uzun süredir hastayım	ben çok uzun süre hasta
bazen dışarı çıkar mısın	sen bazen dışarı çıkmak ?
ben bugün hastaneye gittim	ben bugün hastane gitmek
iyi bir tane aldım	ben iyi bir tane almak
işe giderken amcama rastladım	ben iş gitmek benim amca rastlamak
her zaman seninle ilgilendi	o her zaman senin ile ilgilenmek
ona bir kamera aldı	ona bir kamera almak
alışveriş yapmayı çok sever	o alışveriş yapmak çok sevmek
burada dışarısı çok soğuk	burada dışarı çok soğuk
ben evcil hayvanları severim	ben evcil_hayvan onlar sevmek
bana kim yardım edebilir	bana kim yardım_etmek ?
kendimi fazla yorgun hissetmiyorum	ben kendim fazla yorgun hissetmek değil
burada dans edebilir miyim	ben burada dans ?
kitabı almayı kabul ettim	ben kitap almak kabul_etmek
senin adını hiç duymadım	ben senin ad hiç duymak değil
ben hep çok meşgulüm	ben hep çok meşgul
burada hayat zor mu	burada hayat zor ?
neden bu kadar beklediniz	neden bu_kadar beklemek ?
söylediğimi duymamış gibi yaptı	o benim söylemek duymak değil gibi yapmak
öğrenci makalelerinede yer vermektedir	öğrenci makale yer vermek
ben dışarıda bırakılmış hissettim	ben dışarı orada bırakmak hissetmek
babama kim iş verdi	benim baba kim iş vermek ?
onun için çok endişeleniyorum	ben onun için çok endişelenmek
ben yakında üniversiteye gideceğim	ben yakında üniversite gitmek
o evler amcama aittir	o ev benim amca ait
senin düşündüğünden daha sertim	ben senin düşünmek daha sert
sana aldığım gömlek nerede	benim sana almak gömlek nerede ?
dedesinin ismini almış olmalı	o onun dede isim almak olmak
arkadaşım annesini çok özlemiş	benim arkadaş onun anne çok özlemek
bilgisayarımı aldığımız yer kapanmış	benim bilgisayar bizim almak yer fiyat kapanmak
sen neden televizyonu kapattın	sen neden televizyon kapatmak ?
bugün kaç kişi geldi	bugün kaç kişi gelmek ?
o yemeği hiç sevmiyorum	ben o yemek hiç sevmek değil
bu erkek kardeşime ait	bu benim erkek kardeş ait
onunla konuşunca mutlu oluyorum	ben onun ile konuşmak mutlu olmak
bir ilaç alıyor musun	sen bir ilaç almak ?
iyi bir kamera aldım	ben iyi bir kamera almak
aldığım cezayı kabul etmedim	ben benim almak ceza kabul_etmek değil
ilk ben sesimi yükselttim	ilk ben benim ses yükseltmek
amcam kötü bir sürücü	benim amca kötü bir sürücü
o ne kadar iyi	o ne kadar iyi
şimdi aptal hissetmiyor musun	sen şimdi aptal hissetmek değil ?
aradığın kitabı nerede buldun	sen senin aramak kitap nerede bulmak ?
bir kalem almayı düşünüyorum	ben bir kalem almak düşünmek
mektubumu alıp almadığını sordum	ben benim mektup onun almak almak değil sormak
o sadece güvenli hissetmiyor	o sadece güven hissetmek değil ?
onlar dışarıda alışveriş yapıyorlar	onlar dışarı orada alışveriş yapmak
dün aldığım kitap pahalıydı	dün benim almak kitap pahalı
temizlik yapmayı hiç sevmez	o temizlik yapmak hiç sevmek değil
bu hafta amcama gidiyorum	ben bu hafta benim amca gitmek
artık şekerli süt içmiyorum	ben artık şeker süt içmek değil
ben hiç ilaç almıyorum	ben hiç ilaç almak değil
yarın onunla ilgilenmeye mecburum	ben yarın onun ile ilgilenmek mecbur
düşündüğünden daha çok biliyorsun	sen senin düşünmek daha çok bilmek
kalabalık yüksek sesle bağırdı	kalabalık yüksek ses bağırmak
o şimdi seni anlıyor	o şimdi sen anlamak
sürekli kısa cümleler kurmuyordu	o sürekli kısa cümle kurmak değil
onlara yardım edebilir miyiz	biz onlar yardım_etmek ?
sınavdan yüksek not aldım	ben sınav yüksek not almak
müzik dinlemeyi hiç sevmem	ben müzik dinlemek hiç sevmek değil
ben bunu hiç anlamadım	ben bu hiç anlamak değil
tren hangi perondan kalkıyor	tren hangi peron kalkmak ?
hayatımda daha iyi hissetmedim	ben benim hayat daha iyi hissetmek değil
senin yaşlı olduğunu düşünüyorum	ben senin yaşlı olmak düşünmek
burada çalışmaktan zevk alıyorum	ben burada çalışmak zevk_almak
temizlik yapmayı çok sever	o temizlik yapmak çok sevmek
annem arkadaşımla okula gitti	benim anne benim arkadaş ile okul gitmek
senin kardeşin var mı	senin kardeş var ?
babam ilk arabamı aldı	benim baba ilk benim araba almak
avrupadaki akrabalarını çok özlemiş	o avrupa orada onun akraba çok özlemek
doktor bana ilaç verdi	doktor bana ilaç vermek
yarın geziye herkes gelecek	yarın gezi herkes gelmek
balık yemeyi hiç sevmiyorum	ben balık yemek hiç sevmek değil
büyük bir kalabalık bekliyordum	ben büyük bir kalabalık beklemek
gelecek hafta geri dönüyorum	ben gelecek hafta geri dönmek
kardeşim odamda oyun oynuyor	benim kardeş benim oda orada oyun oynamak
sen hangi rengi seversin	sen hangi renk sevmek ?
bir köpekle ilgilenmek istemiyorum	ben bir köpek ile ilgilenmek istemek
asla daha iyi hissetmedim	ben asla daha iyi hissetmek değil
o benim kız kardeşim	o benim kız kardeş
marketin kasasından yeterince almadık	biz market kasa yeterli almak değil
o erkek kardeşime ait	o benim erkek kardeş ait
sürekli alışverişe gider misin	sen sürekli alışveriş gitmek ?
resim çizmeyi bitirip uyudu	o resim çizmek bitirmek uyumak
şimdi amcamın evinde kalıyorum	ben şimdi benim amca onun ev orada kalmak
onu ilk ben gördüm	o ilk ben görmek
o yataktan ayağa kalktı	o yatak ayak kalkmak
sürekli kısa cümleler kuruyordu	o sürekli kısa cümle kurmak
onun kim olduğunu düşünüyorsun	sen onun kim olmak düşünmek ?
ben her şeyi yerim	ben her_şey yemek
büyük bir kalabalık katıldı	büyük bir kalabalık katılmak
dışarı çık ve oyna	sen dışarı çıkmak ve oynamak
birisi arabama zarar vermiş	biri benim araba zarar vermek
ablam bizi duymuş olabilir	benim abla biz duymak olabilir
bir işe ihtiyacım var	benim bir iş ihtiyaç var
bugün hava çok yağmurlu	bugün hava çok yağmur
onları gördükçe çok üzülüyorum	ben onlar görmek üzülmek
düşen kayalara dikkat edin	siz düşmek kaya dikkat_etmek
derslerimi bitirip dışarı çıktım	ben benim ders bitirmek dışarı çıkmak
onların hepsi sana tapıyorlar	onlar hepsi sana tapmak
bir şey hissetmiyor musun	sen bir_şey hissetmek değil ?
benim arkadaşım duymak istemiyor	benim arkadaş duymak istemek değil
erkek kardeşim dışarı çıktı	benim erkek kardeş dışarı çıkmak
bu kitap çok ucuz	bu kitap çok ucuz
hasta kız kardeşime baktım	ben benim hasta kız kardeş bakmak
bu konuyu duymamış olabilirsin	sen bu konu duymak değil olmak
bugün hava çok güzel	bugün hava çok güzel
ben bilgisayar kullanmayı biliyorum	ben bilgisayar kullanmak bilmek
ona bir oyuncak aldım	ben ona bir oyuncak almak
ancak sevgilisi tek konuşmaz	ancak onun sevgili tek konuşmak değil
örnek bir hayat yaşıyorum	ben örnek bir hayat yaşamak
başarılı bir profesör değil	başarılı bir profesör değil
arkadaşım yarın bize gelecek	benim arkadaş yarın bize gelmek
o hikaye ile ilgilendi	o hikaye ile ilgilenmek
arkadaşımı işe almak istiyorum	ben benim arkadaş iş almak istemek
bizim için kahvaltı hazırladılar	onlar bizim için kahvaltı hazırlamak
ben bir kadın oldum	ben bir kadın olmak
bunu kimin yaptığını düşünüyorsun	sen bu kim yapmak düşünmek ?
çok yaramaz çocukları sevmem	ben yaramaz çocuk onlar sevmek değil
bana yardım edebilir misin	sen bana yardım_etmek ?
burada dışarısı çok sıcak	burada dışarı çok sıcak
bir köpek almak istiyorum	ben bir köpek almak istemek
sizin pilin gücü düşük	sizin pil güç düşük
her şey çok pahalı	her_şey çok pahalı
avrupada çok para kazanıyor	o avrupa orada çok para kazanmak
hangi ülkeye gitmeyi isterdin	sen hangi ülke gitmek istemek ?
bu ilaç işe yarar	bu ilaç iş yaramak
arkadaşım beni çok özlemiş	benim arkadaş ben çok özlemek
telefonla çok uzun konuştu	o telefon ile çok konuşmak
bu hastalık çok kötü	bu hastalık çok kötü
hangi mevsimi çok seversin	sen hangi mevsim çok sevmek ?
ne düşündüğünden emin değilim	ben senin ne düşünmek emin_olmak değil
araba sürmeyi biliyor musun	sen araba sürmek bilmek ?
bana bir iş ver	sen bana bir iş vermek
o çok zor biri	o çok zor biri
arkadaşı bekar bir anne	onun arkadaş bekar bir anne
seni işe almak istiyoruz	biz sen iş almak istemek
ben çocuklarla iyi anlaşırım	ben çocuk onlar ile iyi anlaşmak
arkadaşın geri döndü mü	senin arkadaş geri dönmek ?
ben hiç sigara içmiyorum	ben hiç sigara_içmek değil
benim bir programım var	benim bir program var
alışveriş yapmayı çok seviyorum	ben alışveriş yapmak çok sevmek
