iyi geçti mi	iyi geçmek ?
rötar	saat geç
sıcaktı	sıcak
propaganda dinlemeyi durdurun	siz propaganda dinlemek durdurmak
biz içeri girmeden önce herkes dışarı çıkıncaya kadar bekleyelim	biz içeri girmek önce herkes çıkmak beklemek
o hoş biri	o hoş biri
onun annesini tanıyor musun	sen onun anne tanımak ?
benimle misin	sen benim ile ?
bu otelin faks numarası nedir	bu otel faks numara ne ?
beni ne kadar bekledin	sen ben ne_kadar beklemek ?
arabanın nerede olduğunu unuttum	ben araba nerede unutmak
ailelerimiz var	bizim aile var
bilgisayarımı geri alamıyorum	ben benim bilgisayar geri almak değil
polisi görünce kaçtı	o polis görmek kaçmak
onu şimdi yapacağım	ben o şimdi yapmak
insanlar farklı şekillerde ölür	insan farklı şekil ölmek
geçen hafta onun kız kardeşiyle buluştum	ben geçen_hafta onun kız kardeş ile buluşmak
sırada duruyordu	o sıra durmak
telefonda çok zaman harcadım	ben telefon çok zaman harcamak
nasılsın arkadaşım	nasılsın benim arkadaş ?
o eskisi gibi değil	o eski gibi değil
kestin mi	sen kesmek ?
günün tadını çıkar	sen gün tat çıkarmak
tüm istediğim sağlıktır	ben sadece sağlık istemek
ben resim çizmek istiyorum	ben resim çizmek istemek
o gözlüğünü unuttu	o onun gözlük unutmak
çoğu kişi katılmadı	çok kişi katılmak değil
cumartesi akşamları sinemaya giderdik	biz cumartesi akşam sinema gitmek
nasıl hissettiğimi düşünüyorsun	sen benim nasıl hissetmek düşünmek ?
bilgisayar bozuk	bilgisayar bozuk
polise yolu sor	sen polis yol sormak
ben ona ulaştım ve omzuna hafifçe vurdum	ben ona ulaşmak ve onun omuz hafif vurmak
onları bulacağım	ben onlar bulmak
ev fiyatları artıyor	ev fiyat artmak
niye çalışmıyorsun	sen niye çalışmak değil ?
büyük olacak	o büyük olmak
elini tutmama izin ver	ben senin el tutmak sen izin_vermek
evet demeyeceğim	ben evet demek değil
futbol oynayalım	biz futbol oynamak
onlar sürpriz yaptılar	onlar sürpriz yapmak
istasyon ve havaalanı arasında otobüsler çalışır	istasyon ve havaalanı ara otobüs çalışmak
o çok oturuyor	o çok oturmak
biz birlikte futbol oynadık	biz birlikte futbol oynamak
görebiliyor musun	sen görmek ?
onun onu yapmasına izin verdim	ben onun o yapmak izin_vermek
polisi arıyorum	ben polis aramak
senin gitarın benimkinden daha iyi	senin gitar benim gitar daha iyi
ne kadar büyük bir indirim aldın	sen ne_kadar büyük bir indirim almak ?
ben bir doktor istiyorum	ben bir doktor istemek
bir kaza vardı	bir kaza var
telefonum artık çok eskidi	benim telefon çok eski
bir şeker hastası hangi yiyecekleri yememeli	bir şeker hasta hangi yiyecek yemek değil ?
soru sormayı bırak	sen soru sormak bırakmak
o iyi bir oyun mu	o iyi bir oyun ?
onun mavi bir arabası var	onun mavi bir araba var
cevabını beklemek zorunda kalacağız	biz onun cevap beklemek lazım
seninle birlikte gideceğiz	biz senin ile birlikte gitmek
ben üniversite kazanmak için çok çalıştım ve başardım	ben üniversite kazanmak için çok çalışmak ve başarmak
evet dedi mi	o evet demek ?
kapat şunu	sen kapatmak şu
bunu biliyor musun	sen bu bilmek ?
üç tane alabilir miyim	ben üç tane almak ?
ekmek nerede	ekmek nerede ?
eskiden çok fazla kahve içerdim ama artık kahve içmiyorum	ben eski çok fazla kahve içmek ama artık kahve içmek değil
bizimle kal	sen bizim ile kalmak
onunla iletişim kurmak imkansız	onun ile iletişim kurmak imkansız
o bir ders öğrendi	o bir ders öğrenmek
o bankada çalışır	o banka çalışmak
bu kamera nasıl çalışır	bu kamera nasıl çalışmak ?
sana bunu aldım	ben sana bu almak
televizyonu açabilir miyim	ben televizyon açmak ?
o hem annesinin hem de babasını kaybetti	o hem onun anne hem onun baba kaybetmek
bana telefon numaranı verebilir misin	sen bana senin telefon numara vermek ?
yapmanız gereken bütün şey onun cevabını beklemek	siz sadece onun cevap beklemek
o her gün bir roman okur	o her_gün bir roman okumak
ben aptal mı oluyorum	ben aptal olmak ?
yazmaya yeni başladı	o yazmak yeni başlamak
kim iptal etti	kim iptal_etmek ?
ben her sabah koşarım	ben her sabah koşmak
onlar asla çok başarılı olmamıştı	onlar asla çok başarılı olmak değil
işe giriyor musun	sen iş girmek ?
ışıkları kapatmayı unutma	sen ışık kapatmak unutmak değil
bugün eğleneceğiz	biz bugün eğlenmek
onun gitmesine izin veriyorum	sen onun gitmek izin_vermek
emin değilim fakat o gelebilir	ben emin değil fakat o gelmek
demek istediğim bu değil	ben demek istemek bu değil
onları kim aradı	onlar kim aramak ?
seni annemle tanıştıracağım	sen tanışmak benim anne ile
yine yağmur yağıyor	yine yağmur yağmak
ben cüzdan taşımıyorum	ben cüzdan taşımak değil
nedenini sordum	ben sormak neden
bir köpek almak istiyorum	ben bir köpek almak istemek
lütfen açık ve doğru bir posta adresi yazın	lütfen açık ve doğru bir posta adres yazmak
o asla babasını bir daha görmedi	o asla onun baba bir daha görmek değil
o üzüntülü bir şekilde gülümsedi	o üzülmek bir şekil gülümsemek
o ona arabasını sattı	o ona araba satmak
uçak kaza yaptı	uçak kaza yapmak
üniversitede içki içtin mi	sen üniversite içki içmek ?
o sanki en iyi arkadaşını kaybetmiş gibi duruyor	o sanki onun en iyi arkadaş kaybetmek gibi durmak
gözleriniz ne renk	sizin göz ne renk ?
ışıkları açık bıraktın	sen ışık açık bırakmak
adam çok kızdı	adam çok kızmak
çalmamızı izlemeye gel	sen bizim çalmak izlemek gelmek
bak kedi mutfakta	bakmak kedi mutfak orada
kendi odasını istedi	o kendi oda istemek
o evde mi	o ev orada ?
o polisleri sevmez	o polis onlar sevmek değil
o hiç bu kadar endişeli olmamıştı	o hiç bu_kadar endişeli olmak değil
o bana deli oluyor	o bana deli olmak
oğlum odama geldi	benim oğul benim oda gelmek
çay içmem	ben çay sevmek değil
siz zenginsiniz	siz zengin
onu ondan öğrendim	ben o o öğrenmek
ne güzel bir sabah	ne güzel bir sabah
o kurallara saygı göstermedi	o kural saygı göstermek değil
mumları yakın	siz mum yakmak
denemek istemiyor musun	sen denemek istemek değil ?
en sevdiğim yiyecek pizzadır	benim en sevmek yiyecek pizza
apartman dairemi beğeniyorum	ben apartman benim daire beğenmek
gerçek mi	gerçek ?
o yeni değil	o yeni değil
buraya da kar yağdı	buraya kar yağmak
o koştu	o koşmak
pencereden dışarı bakma	sen pencere dışarı bakmak değil
sıcak mı	sıcak ?
ben sonuçlara şaşırdım	ben sonuç ile şaşırmak
sen karar ver	sen karar_vermek
onu bunun gibi yapmalısın	sen o bu gibi yapmak
seni bu nedenle sevdim	ben sevmek sen bu neden
biz bavulu kapattık	biz bavul kapatmak
bir ev aldım	ben bir ev almak
hiç kimse onun önünde koşmadı	hiç_kimse onun önünde koşmak değil
o eve geldiğinde ben kalkmıştım	o ev gelmek ben kalkmak
onun ışıkları yanmıyordu	onun ışık yanmak değil
yaşlı adama hiç inanmadım	ben yaşlı adam hiç inanmak değil
rapor gerçek olamaz	bu rapor gerçek olmak değil
iyi haberim var	benim iyi haber var
annemin yemek pişirmesini özlüyorum	ben benim anne yemek pişirmek özlemek
yapmaması için ikna etti	o yapmak değil için ikna_etmek
senin bir tatile ihtiyacın var	senin bir tatil ihtiyaç var
sanırım o beni özledi	ben sanmak o ben özlemek
bir kamera aldım	ben bir kamera almak
o ressam olmak için doğdu	o ressam olmak için doğmak
pazartesi yağmurlu bir gün olacak	pazartesi yağmur bir_gün olmak
yarın geziye herkes gelecek	yarın gezi herkes gelmek
sınav üç saat	sınav üç saat
eskisi kadar çok kahve içmiyorum	ben eski kadar kahve içmek değil
bebek annesine ihtiyacı var	bebek anne ihtiyaç var
senin en iyi arkadaşın kim	senin en iyi arkadaş kim ?
o muğla'da yaşar	o muğla orada yaşamak
o radyoda haberleri dinledi	o radyo haber dinlemek
onlar avrupaya gittiler	onlar avrupa gitmek
çalışıyor musunuz	siz çalışmak ?
nereye gideceğiz	biz nereye gitmek ?
ayrılmak istediğimi onlara söyledim	ben ayrılmak istemek onlar söylemek
ben artık oraya gitmeyeceğim	ben artık oraya gitmek değil
onlar bir bıçak ve çatalla yemek yerler	onlar bir bıçak ve çatal ile yemek yemek
onlar bize yardım edebilir mi	onlar bize yardım_etmek ?
ben ekmeği severim	ben ekmek sevmek
kardeşim süt almayı unuttu	benim kardeş süt almak unutmak
şu adamın bir kutusu var	şu adam onun bir kutu var
nasıl yapıyoruz	biz nasıl yapmak ?
onlar benim kız kardeşimin kitaplarıdır	onlar benim kız kardeş onun kitap
onun sağlığı iyileşiyor	onun sağlık iyileşmek
arkadaşım arabayla alışveriş merkezine gitti	benim arkadaş araba ile alışveriş merkez gitmek
ben babamı görmek istiyorum	ben benim baba görmek istemek
onlar haklı mıydı	onlar haklı ?
o tembel bir öğrenci	o tembel bir öğrenci
bütün bildiğim bu	ben sadece bilmek bu
onun yaptıklarını asla yapmazdım	ben onun yapmak asla yapmak değil
o ne için	o ne için
o bir gözünü kapattı	o onun bir göz kapatmak
sen bitirdin değil mi	sen bitirmek ?
oğlumu aradım	ben benim oğul aramak
bu muzlar bozuldu	bu muz bozulmak
erken ayrıldım	ben erken ayrılmak
onu tamir edebilir misin	sen o tamir_etmek ?
bence yararlı olacak	bence yararlı olmak
utangaç olmak istemiyordu	o utangaç olmak istemek değil
kız kardeşim var	benim kız kardeş var
bu nehir avrupadaki en geniş nehir	bu nehir avrupa en geniş nehir
biraz şaşırdın	sen biraz şaşırmak
şemsiyemi otobüste bıraktım	ben benim şemsiye otobüs orada bırakmak
o bizi gördüğüne şaşırdı	o biz görmek şaşırmak
ilaç alırken yolda kavga eden köpeği gördüm	ben ilaç almak yol orada kavga_etmek köpek görmek
hepimiz oyun oynarken zevk aldık	hepimiz oyun oynamak zevk_almak
sonucu buldum	ben sonuç bulmak
anahtarları erkek kardeşine getir	sen anahtar senin erkek kardeş getirmek
seninle evlenmeyeceğim	ben senin ile evlenmek değil
sonra geleceğim	ben sonra gelmek
o partide miydi	o parti orada ?
onlar yakında ayrılmaz oldular	onlar yakında ayrılmak değil olmak
onlar öğretmen	onlar öğretmen
onu daha sonra yap	sen o daha sonra yapmak
yatmadan önce bu ilacı kullandığınızdan emin olun	siz yatmak önce bu ilaç kullanmak emin_olmak
birlikte bisiklete bineriz	biz birlikte bisiklet binmek
onlar seni geri istiyorlar	onlar sen geri istemek
o polise güvenmiyor	o polis güvenmek değil
annenin oturma odasını temizlemesine yardım etmelisin	sen senin anne oturma_odası temizlemek yardım_etmek
benim zamanım yok	benim zaman yok
onun yeni bir iş bulduğu konusunda etrafta dolaşan bir söylenti var	o yeni bir iş bulmak bu konu etraf söylenti var
şeker hastalığı körlüğe neden olur	şeker_hastalığı kör neden olmak
o üniversiteye gitmek istedi	o üniversite gitmek istemek
kimse onu sevmiyor	kimse o sevmek değil
onlarla görüşmeyeceğiz	ben onlar ile görüşmek
ben daha sonra ararım	ben daha sonra aramak
oturup sakince tartışalım	biz oturmak sakin tartışmak
herkes kabul etti	herkes kabul_etmek
o bize annesinin resmini gösterdi	o biz onun anne resim göstermek
biz başardık	biz başarmak
ben tercihim olmadığını hissettim	ben benim tercih olmak değil hissetmek
beklediğine sevindim	ben senin beklemek sevinmek
bana müdürün adresi lazım	bana müdür onun adres lazım
bütün istediğim bu	benim bütün istek bu
onlar burada mı	onlar burada ?
niçin oturup ondan bahsetmiyoruz	niçin biz oturmak ve o bahsetmek değil
o ingilizce öğretti	o ingilizce öğretmek
gözlerimi kapattım	ben benim göz kapatmak
o otobüste bulduğum şemsiye ile aynı	o benim otobüs orada şemsiye bulmak ile aynı
dışarı çıkmak için özgürsün	sen dışarı çıkmak için özgür
o kızları sever	o kız onlar sevmek
bütün gün gerçekten yoruldum	ben bütün gün gerçek yorulmak
ben iyi olacağını düşündüm	ben düşünmek sen iyi olmak
birisi eksik	biri eksik
biraz yazı kağıdına ihtiyacım var	benim biraz yazı kağıt ihtiyaç var
odamı zaten temizledim	ben benim oda zaten temizlemek
sanırım bulduğu cüzdan senin	ben sanmak o cüzdan bulmak senin
o dışarı gitti	o dışarı gitmek
biz utangacız	biz utangaç
daha sonra arayabilir miyim	ben daha sonra aramak
onun yeni bir arabaya ihtiyacı var	onun yeni bir araba ihtiyaç var
evimizin badanasını kendimiz yaptık	biz bizim ev badana kendi yapmak
iyi pirinç fiyatını düşürdü	iyi pirinç fiyat düşmek
o arkadaşlarıyla kalıyor	o onun arkadaş ile kalmak
hiç tayland yiyecekleri yemedi	o hiç tayland yiyecek yemek değil
yemek yapmaya gidelim	biz yemek yapmak gitmek
küçük kardeşim dolaptan bir kurabiye aldı	benim küçük kardeş dolap bir kurabiye almak
müdürü kızımı işe aldı	onun müdür benim kız iş almak
rüzgar kapıyı açtı	rüzgar kapı açmak
kim kaldı	kim kalmak ?
ben sizin tarafınızdayım	ben sizin taraf orada
doktoru ona spor yapması gerektiğini söyledi	onun doktor söylemek spor yapmak lazım
şimdiye kadar onu öğrenmiş olduğunu düşündüm	ben şimdi kadar o öğrenmek olmak düşünmek
şu anda pencereden dışarı bakıyorum	ben şu an pencere dışarı bakmak
yarım saat geçti	yarım saat geçmek
evde sıkıldım gezmek için dışarı çıktım	ben ev orada sıkılmak gezmek için dışarı çıkmak
arabamı yıkamadım	ben benim araba yıkamak
o hikayeler yazmayı seviyordu	o hikaye yazmak sevmek
bu imkansız olabilir	bu imkansız olmak
amcamla istasyonda karşılaştım	ben benim amca ile istasyon orada karşılaşmak
kolay cevap yoktur	kolay cevap yok
bütün sahip olduğum bir kitaptır	benim bütün sahip olmak bir kitap
ben mutfak zeminini süpürdüm	ben mutfak zemin süpürmek
biz birlikte çalışıyoruz	biz birlikte çalışmak
o ev benim	o ev benim
o bir şapka aldı	o bir şapka almak
o harika bir baba	o harika bir baba
yolu göstereceğim	ben yol göstermek
sadece şaka yapıyorum	ben sadece şaka yapmak
öğle yemeği için onunla buluştu	o öğle yemek için onun ile buluşmak
bunu kısa sürede onarsalar iyi olur	onlar bu kısa süre onarmak iyi olmak
o numara yapıyor	o numara yapmak
ben bir oğlak burcu olmak istiyorum	ben bir oğlak_burcu olmak istemek
o kutuyu açtı	o kutu açmak
evime uğra	sen benim ev gelmek
bu adamın ciddi olduğunu düşünüyorum	ben bu adam onun ciddi olmak düşünmek
o benim elimi tuttu	o benim el tutmak
hangi eteği seviyorsun	sen hangi etek sevmek ?
o hileyi bilmiyordum	ben o hile bilmek değil
onlar gibi olmak istiyordum	ben onlar gibi olmak istemek
annem bana soğuk su almış	benim anne bana soğuk su almak
çok da kötü değil	çok kötü değil
dün hastaydım	ben dün hasta
annesi avrupada çalışıyor	onun anne avrupa orada çalışmak
o bir asker	o bir asker
uçuş iptal oldu	uçuş iptal_etmek
elma topluyorum	ben elma toplamak
sen kazandın	sen kazanmak
bilgisayarımı aldığımız yer kapanmış	benim bilgisayar bizim almak yer fiyat kapanmak
akşam yemeğin hazır olduğunda seni arayacağım	senin akşam yemek hazır olmak ben sen aramak
aşağıya gidiyoruz	biz aşağı gitmek
senin evine gidiyorum	ben senin ev gitmek
yüzmeyi severdim	ben yüzmek sevmek
bana şaka yapıyorsun	sen bana şaka yapmak
o tavuk gibi tat veriyordu	o tavuk gibi tat vermek
benim dersim iptal edildi	benim ders iptal_etmek
bir kadının bağırdığını duydum	ben bir kadın onun bağırmak duymak
yarın eve dönüyorum	ben yarın ev dönmek
heyecanlı hissettim	ben heyecan hissetmek
buna bakmak ister misin	sen bu bakmak istemek ?
kimse cevap vermedi	kimse cevap vermek değil
bir daha izlemeyeceğim	ben bir daha izlemek değil
akşam yemeğini kim yaptı	akşam yemek kim yapmak ?
onun şapkasını gördüğünde güldü	o onun şapka görmek gülmek
seçeneklerime bakıyorum	ben benim seçenek bakmak
onun istifasına şaşırmıştım	ben onun istifa şaşırmak
bu yatak ağır	bu yatak ağır
o gelmiş geçmiş en kötü yönetmendir	o gelmek geçmek en kötü yönetmen
en sevdiğim kitabı okuyorum	benim en sevmek kitap okumak
şişman değildi	şişman değil
onlar evlenmek istiyorlardı	onlar evlenmek istemek
o benim en sevdiğim gömlek	o benim en sevmek gömlek
asla yolda oynama	sen asla yol orada oynamak değil
neden rahatsız oluyorsun	sen neden rahatsız olmak ?
ben kitap okumam	ben kitap okumak değil
olay mı	olay ?
babamla gurur duyuyorum	ben benim baba ile gurur_duymak
sağlığım iyi	benim sağlık iyi
evinizde kaç tane saatiniz var	sizin ev kaç saat var ?
kitap okumaya çalışıyor musun	sen kitap okumak çalışmak ?
iki hafta geçti	iki hafta geçmek
o benim kız kardeşimin kamerası	o benim kız kardeş onun kamera
o şiir yazmayı sever	o şiir yazmak sevmek
ağabeyimin ağladığını gördüğünde şok olmuştum	ben benim abi ağlamak görmek şok olmak
bu senin şanslı günün	bu senin şanslı gün
onun orada arkadaşları var	onun orada arkadaş x2 var
okula arabayla giderim	ben okul araba gitmek
artık odama gidebilir miyim	ben artık benim oda gitmek
o tenis oynuyor	o tenis oynamak
neden gitmedin	sen neden gitmek değil ?
onu yaptık	biz o yapmak
kayıp çocukla ilgili bir iz var mı	kayıp çocuk ile ilgili bir iz var ?
o onu kimin söylediğini unuttu	o kim söylemek unutmak
erkek kardeşimle birlikte geliyor olacağım	ben benim erkek kardeş ile birlikte gelmek olmak
bunların hepsini değiştirmek istiyorum	ben bunlar hepsi değiştirmek istemek
ben onun yeni arabasına hayran oluyordum	ben onun yeni araba hayran_olmak
ancak bu nedenlerden sadece biriydi	ancak bu çok neden biri olmak
kendisine ingilizce öğretti	o kendisi ingilizce öğretmek
bunu şimdi yapıyoruz	biz bu şimdi yapmak
onlar onun istifasını öğrendikten sonra çok şaşırdılar	onlar onun istifa öğrenmek sonra çok şaşırmak
çocuklar cesur olun	çocuk x2 siz cesur olmak
onlar polis	onlar polis
köpek elimi ısırdı	köpek benim el ısırmak
çocuğu olmamıştı	onun çocuk olmak değil
onu iptal ettim	ben iptal_etmek o
ben mesajı okudum	ben mesaj okumak
okulda bizimle buluştu	o okul orada bizim ile buluşmak
burada olduğum için heyecanlıyım	ben burada olmak için heyecan
mezun oldu	o mezun olmak
boşandığını duyduğuma üzüldüm	ben senin boşanmak duymak üzülmek
o bir elma istiyor	o bir elma istemek
endişe ederek çok fazla zaman harcıyorsun	sen endişe çok fazla zaman harcamak
o çok şey öğrendi	o çok şey öğrenmek
kapıyı kırdım çünkü anahtarı kaybettim	ben kapı kırmak çünkü anahtar kaybetmek
o bizim ingilizce öğretmenimiz	o bizim ingilizce öğretmen
roman yazmaya karar verdim	ben roman yazmak karar vermek
hiç kimseden yardım almadık	biz hiç_kimse yardım almak değil
öğleden sonrayı kitap okuyarak geçirdi	o öğleden_sonra kitap okumak zaman_geçirmek
ilk biz ulaştık	ilk biz ulaşmak
teyzem ödünç aldığım parayı geri ödememi istedi	benim teyze ödünç benim almak para geri ödemek istemek
oraya gidebilirsin	sen oraya gitmek
o beni duymamış gibi yaptı	o ben duymak değil gibi yapmak
ben incili her gün okurum	ben incil her_gün okumak
o çocukla ilgileneceğim	ben o çocuk ile ilgilenmek
sağlığı için endişeli	onun sağlık için endişeli
gerçek bir yalan söylemiş olmalıdır	o gerçek bir yalan_söylemek olmak
şimdi onunla ilgileneceğiz	biz şimdi onun ile ilgilenmek
kardeşim odamda oyun oynuyor	benim kardeş benim oda orada oyun oynamak
o pahalı değil	o pahalı değil
hangi renkleri seversin	sen hangi renk x2 sevmek ?
ona bir saat isteyip istemediğini sordum	ben ona sormak bir saat istemek ya_da istemek değil
o çocuk babasına çekmiş	o çocuk onun baba benzemek
bu çok ucuz	bu çok ucuz
bana zaman verin	siz bana zaman vermek
arkadaşım babama arabasını ödünç alıp alamayacağını sordu	benim arkadaş benim baba onun ödünç almak almak değil sormak
bugün cumartesi	bugün cumartesi
bana okulunu anlat	sen bana senin okul anlatmak
birisi oraya geldi	biri oraya gelmek
yararı yok	onun yararlı yok
araban yeni mi	senin araba yeni ?
polisi ara	sen polis aramak
bana bir iş ver	sen bana bir iş vermek
ona selam vermeye gidelim	biz ona selam vermek gitmek
kim kimi seviyor	kim kim sevmek ?
doğru söylüyorsun	sen doğru söylemek
onun en sevdiği yemeğin ne olduğunu merak ediyorum	o en sevmek yemek ne olmak ben merak_etmek
ben yüzmeyi biliyorum	ben yüzmek bilmek
o iyi mi	o iyi ?
bulaşıkları zaten yıkadım	ben bulaşık zaten yıkamak
o bize bir şey vermedi	o biz bir_şey vermek değil
arkadaşı dışarıda alışveriş yapıyor	onun arkadaş dışarı orada alışveriş yapmak
çok mutsuz hissediyorum	ben çok mutlu değil hissetmek
yere düştüm	ben yer oraya düşmek
bu hoşuma gidiyor	bu benim hoş gitmek
anlaşmayı kabul etti	o anlaşma kabul_etmek
bugün kar yağıyor	bugün kar yağmak
bir kız kardeşin var mı	senin bir kız kardeş var ?
öğretmeni sınıfa geldiğinde çok hasta görünmüyordu	onun öğretmen sınıf gelmek çok hasta görünmek değil
polise rüşvet verdim	ben polis rüşvet vermek
gerçek erkekler çay içerler	gerçek erkek x2 çay içmek
telefon aldım	ben telefon almak
yardım için teşekkürler	sen yardım için teşekkür
gerçek acı verir	gerçek acı vermek
o sınavı geçebildi	o sınav geçmek
o zaman tatilde değildim	ben o zaman tatil değil
ben odamı temizlemeli miyim	ben benim oda temizlemek ?
ben her gün yürürüm	ben her_gün yürümek
çok üzüldüm	ben çok üzülmek
zaten yedi	o zaten yemek
genç kadının yüzü kızardı	genç kadın onun yüz kızarmak
asi değilim	ben sinirli değil
mutluyum buradayım	ben mutlu ben burada
babamın üç ablası vardır	benim baba üç abla var
o allaha inanmaz	o allah inanmak değil
bu defa ciddi	o bu defa ciddi
o pencereye koyu bir perde astı	o pencere oraya koyu bir perde asmak
niçin evdesin	sen niçin ev orada ?
o bir doktora benziyordu	o bir doktor benzemek
bir şeyle ilgilenmeliyim	ben bir_şey ilgilenmek
gerçek bu	gerçek bu
onlarla birlikte mutluyum	ben onlar ile birlikte mutlu olmak
onlara güvendim	ben onlar güvenmek
bana şu adamın adını söyleyebilir misin	bana şu adam onun ad söylemek ?
beni evine alabilir misin	sen senin ev almak ben ?
birini buldum	ben biri bulmak
arkadaşı mezun olduktan sonra başka bir ülkeye taşınmak istediğini söyledi	onun arkadaş mezun olmak sonra başka ülke taşınmak istemek söylemek
elma yemeyi sever	o elma yemek sevmek
o bir öğretmen olacak	o bir öğretmen olmak
arabaya bindik	biz araba binmek
ne demek istiyorsun	sen ne demek istemek ?
amcasının adını almış olmalı	o onun amca isim almak olmak
arkadaşlarımla tanışman için heyecanlıyım	ben senin benim arkadaş ile tanışmak için heyecan
ben içeri giremedim	ben içeri girmek değil
o trafik kazası geçirdi	o trafik_kazası geçirmek
o müziği sever	o müzik sevmek
sanırım iyiyim	ben sanmak ben iyi
bu ders kitabı iyidir	bu ders kitap iyi
oradasın	sen orada
o benim sorunum	o benim sorun
onlar arkadaş oldular	onlar arkadaş olmak
o için çok üzülüyorum	ben o için çok üzülmek
o gelen ilk kişiydi	o gelmek ilk kişi
çok trafik yoktu	çok trafik yok
burada taşınmak istiyorum	ben burada taşınmak istemek
ben iptal ettim	ben iptal_etmek
biz onu zaten başardık	biz o zaten başarmak
hoşçakal demek için anneme telefonla aradım	ben hoşça_kal demek için benim anne telefon ile aramak
benim odamda uyuyabilir	o benim oda orada uyumak
onun babası ölmüş	onun baba ölmek
mutlu hissediyorum	ben mutlu hissetmek
o ve benim benzer özellikleri vardır	o ve benim benzer özellik var
romanı iyi sattı	onun roman iyi satmak
etiketleri dikkatli okurum	ben etiket dikkat okumak
hepsi senindir	hepsi senin
yaşlı bir adama nasıl yaparsın	sen yaşlı bir adam nasıl yapmak ?
o bir randevu mu	o bir randevu
bütün kuşlar uçabilir mi	bütün kuş x2 uçmak ebilmek ?
eğitim ücretini ödemeye yardım etmek için yarı zamanlı bir iş bulmuş	o eğitim ücret ödemek yardım_etmek için yarım zaman iş bulmak
yardıma ihtiyacım var	benim yardım ihtiyaç var
annem ve babamla ingilizce konuşuyorum	ben benim anne ve baba ile ingilizce konuşmak
aradığın anahtar bu mudur	senin aramak anahtar bu ?
çocukların neredeydi	senin çocuk x2 nerede ?
bu gece bir tatile ihtiyacım var	bu gece benim bir tatil ihtiyaç var
ben bir çocukken balık tutmaya giderdim	ben önce çocuk olmak ben balık tutmak gitmek
onun parasını çaldım	ben onun para çalmak
onun bazı yetenekli arkadaşları var	onun bazı yetenekli arkadaş x2 var
hepsini yapabilir	o hepsi yapmak
bir elma yedi	o bir elma yemek
bu sanatçı genç yaşta öldü	bu sanatçı genç yaş ölmek
mutfakta fareler var	mutfak orada fare x2 var
senden haberim var	benim sen haber var
onun iki kız kardeşi var	onun iki kız kardeş var
sınavdaki soruların hepsini doğru yaptılar	onlar sınav soru hepsi doğru yapmak
onun müziği tüm ülkeye yayılıyor	onun müzik tüm ülke yayılmak
bu imkansız	bu imkansız
ben bir dizüstü bilgisayar istiyorum	ben bir dizüstü_bilgisayar istemek
utangaç mısın	sen utangaç ?
kitap okumayı sever	o kitap okumak sevmek
bu renk iyi mi	bu renk iyi ?
kimsenin beni görmesini istemiyordum	ben istemek değil kimse görmek ben
üç tane cep telefonum var	benim üç tane cep_telefonu var
müziğe göre dans etmeye başladı	o müzik göre dans başlamak
sen tembel bir adamsın	sen tembel bir adam
dün okuldan eve dönerken yağmura yakalandım	ben dün okul ev dönmek yağmur yakalanmak
o on yedi yaşında	o on yedi yaş
benim biraz param var	benim biraz para var
çukuru doldurdu	o çukur doldurmak
o neden hiç kimsenin partisine gelmediğini biliyor	o neden hiç_kimse onun parti gelmek değil bilmek ?
doğum günün geliyor	senin doğum_günü gelmek
yakında konuşalım	biz yakında konuşmak
zaten bir ailem var	benim zaten bir aile var
bana biraz çay doldurdu	o bana biraz çay doldurmak
o söylenti kısa sürede yayıldı	o söylenti kısa süre yayılmak
sorun değil	sorun değil
arkadaşım anlaşmayı biliyor	benim arkadaş anlaşma bilmek değil
gelemedi çünkü hastaydı	o gelmek değil çünkü hasta
kalabalık çıldırdı	kalabalık çıldırmak
onlar gülümsedi	onlar gülümsemek
ilk kez duyuyorum	ben ilk_defa duymak
en iyi arkadaşım erkek arkadaşımı çaldı	benim en iyi arkadaş benim erkek arkadaş çalmak
ben bankaya gitmedim	ben banka gitmek değil
onlar gidebilirler	onlar gitmek
o bir bilgisayar delisi	o bir bilgisayar deli
avrupanın asyadan daha az nüfusu vardır	avrupa asya daha az nüfus var
seni bu defa kurtaramam	ben sen bu defa kurtarmak ebilmek değil
o köpek kaç yaşında	o köpek kaç yaş ?
onu izlemek için kalacağım	ben o izlemek için kalmak
sigara içmeyi bırakmalısın	sen sigara_içmek bırakmak
telefona cevap ver	sen telefon cevap vermek
boğazımı temizledim ve konuşmaya başladım	ben benim boğaz temizlemek ve konuşmak başlamak
olumlu düşünmemiz gerekiyor	bizim olumlu düşünmek gerekmek
ora hangi ülkede	ora hangi ülke ?
onlar birlikte oturuyorlar	onlar birlikte oturmak
ben geri dönüyorum	ben geri dönmek
sen güçlü kaldı	sen güçlü kalmak
işi bulduğu için şanslıydı	o iş bulmak o şanslı
beraber iyi oynuyoruz	biz beraber iyi oynamak
ne istiyorsun	sen ne istemek ?
ben hep iyi yerim	ben hep iyi yemek
ailemle ilgili konuşmak istemiyorum	ben benim aile ile ilgili konuşmak istemek değil
onun midesine vurdum	ben onun mide vurmak
bu benim babamın gömleği	bu benim baba gömlek
telefonumu kaybettim	ben benim telefon kaybetmek
git ve biraz ekmek satın al	sen gitmek ve biraz ekmek almak
sadece istediğini yap	sen sadece istemek yapmak
hemen paramı geri istiyorum	ben hemen benim para geri istemek
her şey iyi gidiyor	her_şey iyi gitmek
